FibreBridge 7500 bridge,Port,FC_switch_x_1 (6510 or DCX 8510-8),FC_switch_x_2 (6510 or DCX 8510-8),FC_switch_x_1 (6505),FC_switch_x_2 (6505)
bridge_x_1a,FC1,6,-,6,-
bridge_x_1a,FC2,-,6,-,6
bridge_x_1b,FC1,7,-,7,-
bridge_x_1b,FC2,-,7,-,7
bridge_x_2a,FC1,8,-,12,-
bridge_x_2a,FC2,-,8,-,12
bridge_x_2b,FC1,9,-,13,-
bridge_x_2b,FC2,-,9,-,13
bridge_x_3a,FC1,10,-,14,-
bridge_x_3a,FC2,-,10,-,14
bridge_x_3b,FC1,11,-,15,-
bridge_x_3b,FC2,-,11,-,15
bridge_x_4a,FC1,12,-,16,-
bridge_x_4a,FC2,-,12,-,16
bridge_x_4b,FC1,13,-,17,-
bridge_x_4b,FC2,-,13,-,17
,,"additional bridges can be cabled through port 19, then ports 24 through 47",,,
